y,ds
4.364151631399303,2023-01-01
1.2974043121428676,2023-01-02
0.9027375330953012,2023-01-03
0.8416958199369041,2023-01-04
0.6127428098092648,2023-01-05
0.615500642462457,2023-01-06
1.8892988616086723,2023-01-07
2.01414937928084,2023-01-08
2.092949090715825,2023-01-09
1.9290791209314861,2023-01-10
1.7587818144158494,2023-01-11
1.7305806558390762,2023-01-12
1.863398982704523,2023-01-13
1.622329299292198,2023-01-14
1.8081118972407622,2023-01-15
1.6759512462242474,2023-01-16
1.478072496329448,2023-01-17
1.3717997455882567,2023-01-18
1.4201971289176858,2023-01-19
1.2205356464034076,2023-01-20
1.3735112469796302,2023-01-21
1.3079763434619391,2023-01-22
1.1465394052895597,2023-01-23
1.1869518968773642,2023-01-24
1.2109574397606166,2023-01-25
2.0986178451997906,2023-01-26
2.2980989877676525,2023-01-27
2.162929180224355,2023-01-28
2.0075269555760222,2023-01-29
1.9989466851855844,2023-01-30
2.070383164094908,2023-01-31
1.948804501166635,2023-02-01
1.8764491094012468,2023-02-02
1.633184355744904,2023-02-03
7.090925691392039,2023-02-04
6.627743603771376,2023-02-05
7.243429778625002,2023-02-06
6.774647508640507,2023-02-07
7.207620583026534,2023-02-08
6.447150033631828,2023-02-09
16.729637625394137,2023-02-10
14.989923192635699,2023-02-11
15.026691472950706,2023-02-12
14.887091866670572,2023-02-13
13.813456603937643,2023-02-14
15.665759645240517,2023-02-15
13.2747688244216,2023-02-16
14.910072434673072,2023-02-17
13.121691271849238,2023-02-18
14.262040493708552,2023-02-19
12.525435866300752,2023-02-20
12.936636922100643,2023-02-21
12.423620543376433,2023-02-22
13.198759817206403,2023-02-23
12.768683532374494,2023-02-24
13.124010042083297,2023-02-25
11.566425925022935,2023-02-26
13.438630248573032,2023-02-27
13.263265328930421,2023-02-28
12.804116356336484,2023-03-01
15.142436445678776,2023-03-02
12.82220720216511,2023-03-03
14.752394968882962,2023-03-04
15.017925138787918,2023-03-05
12.411924788684095,2023-03-06
13.00621936852054,2023-03-07
14.490253294047655,2023-03-08
13.08893690829043,2023-03-09
13.90054094811131,2023-03-10
13.751209486465468,2023-03-11
13.830255002373281,2023-03-12
13.966845936181683,2023-03-13
13.854259899566678,2023-03-14
12.429764836405962,2023-03-15
16.509794451238154,2023-03-16
16.482428081623794,2023-03-17
16.00851033005468,2023-03-18
14.853261386316564,2023-03-19
17.183482513496728,2023-03-20
15.095320859857063,2023-03-21
16.14259387558357,2023-03-22
14.844524624543848,2023-03-23
16.694635312959505,2023-03-24
14.088961984089273,2023-03-25
16.757636609206422,2023-03-26
14.781130128634192,2023-03-27
13.993955245369442,2023-03-28
15.120454068659487,2023-03-29
15.836989602215496,2023-03-30
14.658983762250699,2023-03-31
15.811638541253913,2023-04-01
13.259366876444064,2023-04-02
15.89315920532658,2023-04-03
13.360567430135818,2023-04-04
15.541635325831756,2023-04-05
14.686566266279712,2023-04-06
15.368936284604366,2023-04-07
14.714614640640681,2023-04-08
17.12675590724874,2023-04-09
14.128317599142644,2023-04-10
15.749797643637386,2023-04-11
14.92973834333361,2023-04-12
15.676517294186297,2023-04-13
14.4968362707977,2023-04-14
13.981398716542515,2023-04-15
13.699811594781252,2023-04-16
14.415772759329725,2023-04-17
13.571169136481092,2023-04-18
13.767164053947702,2023-04-19
14.550545797431418,2023-04-20
15.861904169242607,2023-04-21
13.422397834157065,2023-04-22
15.337057463216127,2023-04-23
15.694279296443895,2023-04-24
16.761816517563354,2023-04-25
14.812049432909689,2023-04-26
14.8747696281866,2023-04-27
14.27678703029444,2023-04-28
15.083610149159384,2023-04-29
15.515026602034412,2023-04-30
15.169348038789874,2023-05-01
13.984882611814779,2023-05-02
15.953250440724101,2023-05-03
15.752257554984865,2023-05-04
15.867932360937115,2023-05-05
16.343156581883864,2023-05-06
14.232464705494314,2023-05-07
16.070259204175198,2023-05-08
23.6367831067282,2023-05-09
23.72342140685723,2023-05-10
21.272885322860354,2023-05-11
20.83081148586529,2023-05-12
21.967560718266053,2023-05-13
22.105015179377652,2023-05-14
21.662003008217912,2023-05-15
22.51091018121935,2023-05-16
21.116207921023204,2023-05-17
21.159933859991597,2023-05-18
21.70315826739882,2023-05-19
23.632006149352893,2023-05-20
27.160180264838374,2023-05-21
25.124630684765915,2023-05-22
26.51566729651688,2023-05-23
23.462637078959474,2023-05-24
23.84026324162955,2023-05-25
24.633194819558,2023-05-26
22.18247970056897,2023-05-27
25.579768572594997,2023-05-28
26.289914896971894,2023-05-29
23.176212772270148,2023-05-30
22.625272130572565,2023-05-31
23.16496390584184,2023-06-01
23.13854714374306,2023-06-02
24.80273830810521,2023-06-03
25.160799599028156,2023-06-04
24.538829213973973,2023-06-05
28.023408113718208,2023-06-06
25.432242006127606,2023-06-07
25.36910535336977,2023-06-08
26.63838197355667,2023-06-09
24.225911765656797,2023-06-10
23.107208122088316,2023-06-11
25.086076337702,2023-06-12
25.931135513791215,2023-06-13
26.433568787002905,2023-06-14
24.337083363581126,2023-06-15
25.837280587166894,2023-06-16
27.50888894300148,2023-06-17
26.078962595701984,2023-06-18
28.453149488994402,2023-06-19
24.51823569457841,2023-06-20
23.651317193766015,2023-06-21
27.872509673245165,2023-06-22
29.438691874706986,2023-06-23
27.99583437056348,2023-06-24
28.416983808216422,2023-06-25
28.25461969790016,2023-06-26
28.03766741597102,2023-06-27
27.607451822221986,2023-06-28
26.204310047682444,2023-06-29
29.590977043342434,2023-06-30
26.245532345772578,2023-07-01
29.02245772376708,2023-07-02
29.42098579203338,2023-07-03
29.69423297139809,2023-07-04
28.887516471368446,2023-07-05
27.493051863091736,2023-07-06
27.539884067809012,2023-07-07
26.2744661193512,2023-07-08
28.022468108675977,2023-07-09
27.835804258529194,2023-07-10
27.65101411354539,2023-07-11
26.570512504401133,2023-07-12
24.45923322484834,2023-07-13
25.187135539599474,2023-07-14
32.046030921566434,2023-07-15
34.398231910139636,2023-07-16
35.95680933838065,2023-07-17
35.0763568261473,2023-07-18
30.851109978730943,2023-07-19
31.65223719993595,2023-07-20
35.85960043198774,2023-07-21
31.048833879320004,2023-07-22
32.61655023465893,2023-07-23
32.94441168464869,2023-07-24
30.921494190814563,2023-07-25
31.070991265721855,2023-07-26
31.849597741836455,2023-07-27
33.500052002059654,2023-07-28
33.48956434989882,2023-07-29
29.572558821826814,2023-07-30
37.074858141935785,2023-07-31
31.792821513241663,2023-08-01
31.74636181795529,2023-08-02
36.38566535821435,2023-08-03
37.655475388690704,2023-08-04
35.15738141692221,2023-08-05
38.09706095831321,2023-08-06
34.15865971537084,2023-08-07
35.88351716180932,2023-08-08
35.737309579343446,2023-08-09
32.871886063955316,2023-08-10
36.16198755684341,2023-08-11
32.24629464092095,2023-08-12
30.97126962886547,2023-08-13
34.835206956524495,2023-08-14
35.415692484031126,2023-08-15
35.643570048948675,2023-08-16
34.95377447228305,2023-08-17
33.69005752561783,2023-08-18
35.92806842744583,2023-08-19
32.95714840293644,2023-08-20
35.69132622105582,2023-08-21
34.54182966033963,2023-08-22
35.99698448582622,2023-08-23
32.811087952671485,2023-08-24
35.46401203386232,2023-08-25
30.655212438268954,2023-08-26
36.21634525150163,2023-08-27
33.440569837100206,2023-08-28
36.25095659242998,2023-08-29
30.092137389909627,2023-08-30
34.20246430747622,2023-08-31
30.916549570698102,2023-09-01
31.597202256347718,2023-09-02
34.102817022813724,2023-09-03
31.30190072576226,2023-09-04
32.347904203421,2023-09-05
33.93806571195953,2023-09-06
34.2442137170517,2023-09-07
34.64863834119107,2023-09-08
31.439831490918987,2023-09-09
32.647041362336864,2023-09-10
31.89445941848147,2023-09-11
35.501151493799874,2023-09-12
30.40038769906532,2023-09-13
40.53189911176905,2023-09-14
44.23960368061699,2023-09-15
47.11141597457592,2023-09-16
44.71108175426341,2023-09-17
49.84578443255665,2023-09-18
46.941371549702026,2023-09-19
50.59149842713506,2023-09-20
47.445077387337065,2023-09-21
49.67889210645801,2023-09-22
49.99851244837509,2023-09-23
46.718867528516405,2023-09-24
44.600328050367985,2023-09-25
46.66188591555671,2023-09-26
61.40798315619277,2023-09-27
51.16987363090625,2023-09-28
57.330978960261504,2023-09-29
55.43472518466293,2023-09-30
57.547805937018786,2023-10-01
61.60965687137531,2023-10-02
52.51083952343368,2023-10-03
59.92594841344289,2023-10-04
56.64871026587349,2023-10-05
51.10083356126447,2023-10-06
59.60346225345783,2023-10-07
54.19212921058235,2023-10-08
51.717152219607236,2023-10-09
59.083350415837266,2023-10-10
49.91207873390778,2023-10-11
50.70222306802258,2023-10-12
56.419675857094624,2023-10-13
54.79476713659966,2023-10-14
59.21122060471276,2023-10-15
60.24866153828458,2023-10-16
56.36219576096668,2023-10-17
58.60647203932591,2023-10-18
69.19307444988002,2023-10-19
70.16013966515621,2023-10-20
65.39274234352362,2023-10-21
71.49145601389768,2023-10-22
60.911206861012175,2023-10-23
68.26875838826722,2023-10-24
70.4998758059259,2023-10-25
64.95888516856442,2023-10-26
61.912471248654626,2023-10-27
69.59395801116861,2023-10-28
66.25129109135918,2023-10-29
59.0358543236542,2023-10-30
61.236165083404465,2023-10-31
68.6931798944012,2023-11-01
70.077438233876,2023-11-02
69.80658279292646,2023-11-03
67.36920631775246,2023-11-04
61.72774614232306,2023-11-05
64.40791648199314,2023-11-06
59.33017879369015,2023-11-07
69.38002401044633,2023-11-08
64.84668409216484,2023-11-09
70.8963882443329,2023-11-10
65.08751353020908,2023-11-11
71.30030769817878,2023-11-12
61.84471302266148,2023-11-13
70.5472372461944,2023-11-14
64.37409833200832,2023-11-15
61.15756747842233,2023-11-16
64.63862549967263,2023-11-17
60.8520668549478,2023-11-18
64.7071204859221,2023-11-19
61.85369153955108,2023-11-20
70.76873863956405,2023-11-21
63.657404712996495,2023-11-22
70.77127653655928,2023-11-23
65.00996506901349,2023-11-24
68.35974383838291,2023-11-25
72.4767634656672,2023-11-26
68.03301997881607,2023-11-27
70.18218342617068,2023-11-28
71.69164697304552,2023-11-29
72.4672682738951,2023-11-30
72.07198062487612,2023-12-01
71.38993078409491,2023-12-02
64.39458213270393,2023-12-03
64.09222753631519,2023-12-04
68.11113839822033,2023-12-05
60.86777206524686,2023-12-06
71.45858899613077,2023-12-07
60.17350740527928,2023-12-08
61.50914799236405,2023-12-09
61.23909957924145,2023-12-10
70.15410405278905,2023-12-11
61.03942535428645,2023-12-12
69.03252396291064,2023-12-13
74.98959337185285,2023-12-14
74.5671008650971,2023-12-15
70.15349429593724,2023-12-16
77.52256095179276,2023-12-17
72.01893398311792,2023-12-18
72.21270652906603,2023-12-19
75.66965624757007,2023-12-20
74.49244082391512,2023-12-21
80.2620139330712,2023-12-22
78.67766814539016,2023-12-23
77.75651874255828,2023-12-24
78.28283792915587,2023-12-25
72.50239414280863,2023-12-26
68.09282919422532,2023-12-27
77.83451254980433,2023-12-28
